Data Source,World Development Indicators,,,
,,,,
Last Updated Date,2/15/2022,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2019
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1.01E+12
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18799450743
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,7.95E+11
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,89417190341
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15400242875
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3155065488
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2.78E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,4.17E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,4.52E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,13619291361
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,648000000
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1687533333
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.39E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,4.45E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,48174235294
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2631434363
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,5.35E+11
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,14391686633
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,16178162030
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,3.03E+11
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,68915416142
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,38652579787
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,13164400000
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,20201323260
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,64409647194
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1982518541
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,7484113000
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,40895322844
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1.88E+12
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5209000000
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,13469422959
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2535657069
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,16593720656
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2220307369
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1.74E+12
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1.67E+12
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,7.32E+11
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,2.79E+11
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1.43E+13
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,58539424930
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,39670977333
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,50400747050
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,12750339023
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,3.23E+11
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1192559739
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1981845741
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,64072870932
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,76173669481
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1.03E+11
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,3101787709
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,5935769351
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,25758357775
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,2.52E+11
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3.89E+12
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,3324615549
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,611537037
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,3.48E+11
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,88941299734
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1.72E+11
