Data Source,World Development Indicators,,,
,,,,
Last Updated Date,2/15/2022,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2019
Aruba,ABW,Military expenditure (current USD),MS.MIL.XPND.CD,
Africa Eastern and Southern,AFE,Military expenditure (current USD),MS.MIL.XPND.CD,11708245732
Afghanistan,AFG,Military expenditure (current USD),MS.MIL.XPND.CD,225835643.9
Africa Western and Central,AFW,Military expenditure (current USD),MS.MIL.XPND.CD,6183403985
Angola,AGO,Military expenditure (current USD),MS.MIL.XPND.CD,1470938717
Albania,ALB,Military expenditure (current USD),MS.MIL.XPND.CD,197225913.3
Andorra,AND,Military expenditure (current USD),MS.MIL.XPND.CD,
Arab World,ARB,Military expenditure (current USD),MS.MIL.XPND.CD,1.09E+11
United Arab Emirates,ARE,Military expenditure (current USD),MS.MIL.XPND.CD,
Argentina,ARG,Military expenditure (current USD),MS.MIL.XPND.CD,3132654926
Armenia,ARM,Military expenditure (current USD),MS.MIL.XPND.CD,652000174.8
American Samoa,ASM,Military expenditure (current USD),MS.MIL.XPND.CD,
Antigua and Barbuda,ATG,Military expenditure (current USD),MS.MIL.XPND.CD,
Australia,AUS,Military expenditure (current USD),MS.MIL.XPND.CD,26079346314
Austria,AUT,Military expenditure (current USD),MS.MIL.XPND.CD,3237796686
Azerbaijan,AZE,Military expenditure (current USD),MS.MIL.XPND.CD,1854235294
Burundi,BDI,Military expenditure (current USD),MS.MIL.XPND.CD,84689413.92
Belgium,BEL,Military expenditure (current USD),MS.MIL.XPND.CD,4761195701
Benin,BEN,Military expenditure (current USD),MS.MIL.XPND.CD,68112390.31
Burkina Faso,BFA,Military expenditure (current USD),MS.MIL.XPND.CD,357921557.5
Bangladesh,BGD,Military expenditure (current USD),MS.MIL.XPND.CD,4348501895
Bulgaria,BGR,Military expenditure (current USD),MS.MIL.XPND.CD,2158557527
Bahrain,BHR,Military expenditure (current USD),MS.MIL.XPND.CD,1557712766
"Bahamas, The",BHS,Military expenditure (current USD),MS.MIL.XPND.CD,
Bosnia and Herzegovina,BIH,Military expenditure (current USD),MS.MIL.XPND.CD,165369204.4
Belarus,BLR,Military expenditure (current USD),MS.MIL.XPND.CD,773713028.7
Belize,BLZ,Military expenditure (current USD),MS.MIL.XPND.CD,24472112.5
Bermuda,BMU,Military expenditure (current USD),MS.MIL.XPND.CD,
Bolivia,BOL,Military expenditure (current USD),MS.MIL.XPND.CD,598213046
Brazil,BRA,Military expenditure (current USD),MS.MIL.XPND.CD,25906871197
Barbados,BRB,Military expenditure (current USD),MS.MIL.XPND.CD,
Brunei Darussalam,BRN,Military expenditure (current USD),MS.MIL.XPND.CD,414728739
Bhutan,BTN,Military expenditure (current USD),MS.MIL.XPND.CD,
Botswana,BWA,Military expenditure (current USD),MS.MIL.XPND.CD,514720930.2
Central African Republic,CAF,Military expenditure (current USD),MS.MIL.XPND.CD,40777666.66
Canada,CAN,Military expenditure (current USD),MS.MIL.XPND.CD,22204408440
Central Europe and the Baltics,CEB,Military expenditure (current USD),MS.MIL.XPND.CD,29319013375
Switzerland,CHE,Military expenditure (current USD),MS.MIL.XPND.CD,5113682093
Channel Islands,CHI,Military expenditure (current USD),MS.MIL.XPND.CD,
Chile,CHL,Military expenditure (current USD),MS.MIL.XPND.CD,5182156529
China,CHN,Military expenditure (current USD),MS.MIL.XPND.CD,2.40E+11
Cote d'Ivoire,CIV,Military expenditure (current USD),MS.MIL.XPND.CD,535951382.2
Cameroon,CMR,Military expenditure (current USD),MS.MIL.XPND.CD,422294772
"Congo, Dem. Rep.",COD,Military expenditure (current USD),MS.MIL.XPND.CD,352709565.6
"Congo, Rep.",COG,Military expenditure (current USD),MS.MIL.XPND.CD,299953239
Colombia,COL,Military expenditure (current USD),MS.MIL.XPND.CD,10167547856
Comoros,COM,Military expenditure (current USD),MS.MIL.XPND.CD,
Cabo Verde,CPV,Military expenditure (current USD),MS.MIL.XPND.CD,9728061.09
Costa Rica,CRI,Military expenditure (current USD),MS.MIL.XPND.CD,0
Caribbean small states,CSS,Military expenditure (current USD),MS.MIL.XPND.CD,529466623.3
Cuba,CUB,Military expenditure (current USD),MS.MIL.XPND.CD,
Curacao,CUW,Military expenditure (current USD),MS.MIL.XPND.CD,
Cayman Islands,CYM,Military expenditure (current USD),MS.MIL.XPND.CD,
Cyprus,CYP,Military expenditure (current USD),MS.MIL.XPND.CD,401589789.5
Czech Republic,CZE,Military expenditure (current USD),MS.MIL.XPND.CD,2910252497
Germany,DEU,Military expenditure (current USD),MS.MIL.XPND.CD,49007512315
Djibouti,DJI,Military expenditure (current USD),MS.MIL.XPND.CD,
Dominica,DMA,Military expenditure (current USD),MS.MIL.XPND.CD,
Denmark,DNK,Military expenditure (current USD),MS.MIL.XPND.CD,4556755136
Dominican Republic,DOM,Military expenditure (current USD),MS.MIL.XPND.CD,613299023.3
